,Year,Player,GS,MP,PER,TRB%,AST%,STL%,BLK%,TOV%,WS,FG%,3P%,2P%,FTA,FT%,PTS,mvp,height,weight,years_played,"
							2017/18						"
210,2017,Jason Smith,3,1068,13.6,13.6,5.0,1.0,4.3,14.2,2.3,0.529,0.474,0.546,51.0,0.6859999999999999,420,Not MVP,211.0,113.0,9,"$5,225,000"
211,2017,Jason Terry,0,1365,9.0,4.5,9.9,1.7,1.3,12.3,2.1,0.43200000000000005,0.42700000000000005,0.444,29.0,0.828,307,Not MVP,188.0,83.0,18,"$2,328,652"
212,2017,Jaylen Brown,20,1341,10.3,9.1,7.2,1.3,1.1,12.5,1.5,0.45399999999999996,0.341,0.507,124.0,0.685,515,Not MVP,193.0,97.0,1,"$4,956,480"
213,2017,Jeff Green,11,1534,10.5,7.6,8.1,1.2,0.7,10.6,0.7,0.39399999999999996,0.275,0.45799999999999996,168.0,0.863,638,Not MVP,196.0,88.0,9,"$2,116,955"
214,2017,Jeff Teague,82,2657,19.2,7.0,36.4,1.9,1.1,16.5,8.1,0.442,0.35700000000000004,0.475,415.0,0.867,1254,Not MVP,188.0,84.0,8,"$19,000,000"
215,2017,Jeff Withey,1,432,18.8,16.2,2.5,1.9,6.0,10.1,1.8,0.534,0.0,0.539,48.0,0.75,146,Not MVP,213.0,104.0,4,"$593,780"
216,2017,Jerami Grant,8,3062,7.9,8.066666667,2.833333333,0.7333333329999999,5.266666667,10.93333333,1.9333333330000002,0.428333333,0.24933333300000002,0.479,98.0,0.5770000000000001,874,Not MVP,203.0,95.0,3,"$1,524,305"
217,2017,Jeremy Lamb,5,1143,17.0,12.7,11.3,1.2,1.8,6.8,2.7,0.46,0.281,0.536,129.0,0.853,603,Not MVP,196.0,83.0,5,"$7,000,000"
218,2017,Jeremy Lin,33,883,19.2,8.1,35.5,2.2,1.2,15.7,2.1,0.43799999999999994,0.37200000000000005,0.48,141.0,0.816,523,Not MVP,190.0,90.0,7,"$12,000,000"
219,2017,Jerian Grant,28,1028,13.1,5.8,17.3,2.3,0.6,11.7,2.5,0.425,0.366,0.473,73.0,0.89,370,Not MVP,203.0,95.0,2,"$1,713,840"
220,2017,Jerryd Bayless,1,71,8.7,9.3,29.4,0.0,0.0,19.8,-0.1,0.344,0.4,0.33299999999999996,10.0,0.9,33,Not MVP,190.0,90.0,9,"$9,000,000"
